Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
2014-06-30,20.392255783081055,56.084617614746094,74.60536193847656,82.5986099243164,38.06964111328125,35.023311614990234,33.350154876708984,17.11248207092285,55.16714859008789,84.87281799316406,11.502010345458984,72.34481811523438,67.14179229736328,48.48419952392578,26.23318099975586,20.005964279174805,29.09790802001953,41.81924057006836
2014-07-31,20.978145599365234,55.17831039428711,70.02861785888672,81.24348449707031,37.62065124511719,36.24956512451172,33.16954040527344,16.547449111938477,50.24538040161133,91.34028625488281,11.576821327209473,69.2776107788086,66.87973022460938,48.55322265625,27.032020568847656,19.60887908935547,27.192041397094727,41.85552978515625
2014-08-31,22.492258071899414,59.7840461730957,69.40653991699219,83.0368423461914,39.85508728027344,38.15608596801758,33.78020477294922,17.094776153564453,51.59767150878906,99.93724822998047,11.567480087280273,73.26127624511719,71.52540588378906,48.900665283203125,26.997961044311523,20.120563507080078,28.873804092407227,43.44904708862305
2014-09-30,22.218215942382812,60.237213134765625,70.81982421875,82.1861572265625,39.30475997924805,39.180389404296875,38.47603225708008,17.199474334716797,50.74578857421875,101.19649505615234,11.660122871398926,72.6656723022461,71.1705551147461,49.189815521240234,27.090078353881836,20.513322830200195,29.52436637878418,44.026424407958984
2014-10-31,23.81704330444336,62.77647399902344,70.01310729980469,89.1993637084961,38.696533203125,39.67901611328125,40.10219955444336,17.420501708984375,51.418556213378906,116.84491729736328,11.527772903442383,78.42997741699219,78.73241424560547,55.658695220947266,27.230976104736328,20.459665298461914,29.195697784423828,44.201820373535156
2014-11-30,26.2274169921875,65.54850006103516,72.3137435913086,92.865478515625,40.3394889831543,40.40582275390625,42.82832717895508,18.118488311767578,52.898643493652344,119.10003662109375,11.911787986755371,81.26996612548828,81.73223876953125,59.52251434326172,27.722126007080078,23.482885360717773,31.252233505249023,44.2641716003418
2014-12-31,24.447458267211914,66.02689361572266,70.60946655273438,95.83084869384766,37.9284782409668,39.504051208496094,41.47389602661133,18.275413513183594,55.56575012207031,115.20135498046875,11.309130668640137,82.35926818847656,83.77076721191406,60.5633659362793,25.63434410095215,23.037588119506836,29.636173248291016,46.044761657714844
2015-01-31,25.94911766052246,61.097904205322266,69.65994262695312,94.65280151367188,40.563663482666016,34.35873794555664,39.90605926513672,18.334077835083008,55.45945358276367,110.11714935302734,11.083556175231934,80.42216491699219,88.37872314453125,58.8795166015625,25.04800796508789,22.923505783081055,28.89912986755371,40.01140594482422
2015-02-28,28.45189094543457,62.14565658569336,74.52800750732422,98.35608673095703,39.392799377441406,37.292823791503906,42.01274871826172,20.135215759277344,58.90452575683594,114.06586456298828,11.855273246765137,84.03577423095703,94.51740264892578,62.667625427246094,27.418018341064453,22.640274047851562,30.39426612854004,45.378292083740234
2015-03-31,27.668073654174805,59.81692123413086,74.06590270996094,96.7966079711914,38.67948532104492,34.82594299316406,43.527225494384766,20.59102439880371,56.933929443359375,116.21837615966797,11.200078964233398,84.575439453125,98.39360046386719,60.54387283325195,26.963359832763672,22.187091827392578,28.46392250061035,44.85994338989258
